#\kappa_tau,\kappa_tau_tilde,\lnLog
-2.0,-2.0,306.0
-2.0,-1.98,303.14247675546903
-2.0,-1.96,300.28764412314615
-2.0,-1.94,297.4389156582306
-2.0,-1.92,294.6
-2.0,-1.9,291.78045779972354
-2.0,-1.88,288.98260193453024
-2.0,-1.86,286.203472478789
-2.0,-1.84,283.4428836881826
-2.0,-1.82,280.6975661943808
-2.0,-1.8,277.9628850743635
-2.0,-1.78,275.24329713932235
-2.0,-1.76,272.54
-2.0,-1.74,269.8474600771862
-2.0,-1.72,267.1663282164241
-2.0,-1.7,264.49639046993616
-2.0,-1.68,261.84
-2.0,-1.66,259.2015401769434
-2.0,-1.64,256.58326840351526
-2.0,-1.62,253.98431016631528
-2.0,-1.6,251.4
-2.0,-1.58,248.82976394633678
-2.0,-1.56,246.27324225239386
-2.0,-1.54,243.73574984509793
-2.0,-1.52,241.23
-2.0,-1.5,238.7588435717501
-2.0,-1.48,236.31331233632835
-2.0,-1.46,233.88520967578975
-2.0,-1.44,231.46
-2.0,-1.42,229.03022802016076
-2.0,-1.4,226.60998603150014
-2.0,-1.38,224.20870749506116
-2.0,-1.36,221.83
-2.0,-1.34,219.48341600676403
-2.0,-1.32,217.170425100489
-2.0,-1.3,214.88308793038655
-2.0,-1.28,212.62
-2.0,-1.26,210.38054870130733
-2.0,-1.24,208.16235453311907
-2.0,-1.22,205.96885682148786
-2.0,-1.2,203.81
-2.0,-1.18,201.68899030659193
-2.0,-1.16,199.5941131553002
-2.0,-1.14,197.52228684454258
-2.0,-1.12,195.47
-2.0,-1.1,193.42824866189417
-2.0,-1.08,191.40738158033753
-2.0,-1.06,189.41783109942855
-2.0,-1.04,187.46
-2.0,-1.02,185.53795646519103
-2.0,-1.0,183.65496558439665
-2.0,-0.98,181.80860501026513
-2.0,-0.96,180.0
-2.0,-0.94,178.23498960481083
-2.0,-0.92,176.50660415252406
-2.0,-0.9,174.7975296673478
-2.0,-0.88,173.09
-2.0,-0.86,171.37926269540864
-2.0,-0.84,169.68358660758463
-2.0,-0.82,168.01912085760165
-2.0,-0.8,166.4
-2.0,-0.78,164.83901399169088
-2.0,-0.76,163.33023250058523
-2.0,-0.74,161.8602703842479
-2.0,-0.72,160.42
-2.0,-0.7,159.01021044872547
-2.0,-0.68,157.6339492571753
-2.0,-0.66,156.29342859518042
-2.0,-0.64,154.99
-2.0,-0.62,153.7178526163594
-2.0,-0.6,152.48175466386763
-2.0,-0.58,151.28092835306995
-2.0,-0.56,150.12
-2.0,-0.54,149.01099323747482
-2.0,-0.52,147.94199333574687
-2.0,-0.5,146.91376692835465
-2.0,-0.48,145.92
-2.0,-0.46,144.94489044253584
-2.0,-0.44,143.99731072753983
-2.0,-0.42,143.0859140310287
-2.0,-0.4,142.22
-2.0,-0.38,141.40395258901373
-2.0,-0.36,140.63555369152672
-2.0,-0.34,139.9119602331883
-2.0,-0.32,139.23
-2.0,-0.3,138.58891838047313
-2.0,-0.28,137.98868448156384
-2.0,-0.26,137.4299291566725
-2.0,-0.24,136.92
-2.0,-0.22,136.4608090777617
-2.0,-0.2,136.04521512271592
-2.0,-0.18,135.6684384470408
-2.0,-0.16,135.32
-2.0,-0.14,134.99550124437863
-2.0,-0.12,134.7075736582636
-2.0,-0.1,134.46191613050868
-2.0,-0.08,134.26
-2.0,-0.06,134.10723273941525
-2.0,-0.04,134.00145241424238
-2.0,-0.02,133.94221920589584
-2.0,-0.0,133.93
-2.0,0.02,133.95809867323422
-2.0,0.04,134.0232969423206
-2.0,0.06,134.12873202766102
-2.0,0.08,134.28
-2.0,0.1,134.48091031447632
-2.0,0.12,134.72784214179762
-2.0,0.14,135.01585687286578
-2.0,0.16,135.34
-2.0,0.18,135.7023977783849
-2.0,0.2,136.1071905887257
-2.0,0.22,136.5529146189168
-2.0,0.24,137.04
-2.0,0.26,137.56644239635582
-2.0,0.28,138.1302894196034
-2.0,0.3,138.73325716544153
-2.0,0.32,139.38
-2.0,0.34,140.07072741153243
-2.0,0.36,140.80876995650124
-2.0,0.38,141.59849770970828
-2.0,0.4,142.44
-2.0,0.42,143.33451623439734
-2.0,0.44,144.27364571628593
-2.0,0.46,145.24638418330255
-2.0,0.48,146.24
-2.0,0.5,147.24615479202157
-2.0,0.52,148.27676380069076
-2.0,0.54,149.34272951116753
-2.0,0.56,150.45
-2.0,0.58,151.6054135615514
-2.0,0.6,152.80497348326506
-2.0,0.62,154.04256779501566
-2.0,0.64,155.32
-2.0,0.66,156.63615404843085
-2.0,0.68,157.99016793502858
-2.0,0.7,159.3799051395369
-2.0,0.72,160.8
-2.0,0.74,162.2463944117217
-2.0,0.76,163.72097860488864
-2.0,0.78,165.23422681188154
-2.0,0.8,166.8
-2.0,0.82,168.4244178616038
-2.0,0.84,170.09429385798546
-2.0,0.86,171.7949496140081
-2.0,0.88,173.51
-2.0,0.9,175.22349519512818
-2.0,0.92,176.94382618743674
-2.0,0.94,178.69146823663792
-2.0,0.96,180.49
